title,price,content,url
"중고나라 앱 회원 구매 안내 댓글, 운영진 계정 공개(2025.02.10)",가격 정보 없음,"안녕하세요, 중고나라입니다.
최근 중고나라 카페 내에서 앱 회원 구매 안내 댓글을 안내하는 운영진을 사칭한 계정이 발견되었습니다.
이로 인한 피해를 방지하기 위해 운영진 확인 방법과 명단을 공개합니다.
운영진 명단에 포함되지 않은 계정의 연락이나 요청은 절대 응하지 말아주시길 바랍니다.
1. 중고나라 운영진 확인 방법
- 중고나라 운영진의 계정은 카페 필명 옆, 카페 스텝임을 나타내는 🆂 를 확인 할 수 있습니다.
- 운영진으로 보여지나, 🆂 가 아닌 다른 등급은 중고나라 운영진이 아닙니다.
2. 중고나라 공식 운영진 사용 링크
- 공식 링크 : http://chat.joongna.com/b_cafe
- 공식 링크가 아닌 다른 형태는 중고나라에서 제공한 것이 아닙니다.
앱 안내 댓글 예시
◼︎ 중고나라 앱 회원 구매 안내 댓글, 운영진 계정
- 댓글에 포함된 링크 클릭 금지 : 운영진 사칭 계정이 남긴 링크는 피싱 사이트로 연결될 가능성이 높습니다.
- 의심스러운 계정에 개인 정보나 금전적 정보를 절대 제공하지 마세요.
- 명단에 없는 계정이 운영진을 사칭할 경우, 즉시 중고나라 고객센터를 통해 신고해주시길 바랍니다.
- 이와 관련된 보다 상세한 정보는 중고나라 앱 회원 구매 안내 댓글, 운영진 사칭 주의 안내를 참고해 주세요.
No.
카페 필명
계정 아이디
1
중고나라채팅알리미1
ny*****1
2
중고나라채팅알리미9
hm*****p
3
중고나라채팅알리미10
s****n
4
중고나라채팅알리미11
jn********l
5
중고나라채팅알리미15
mi*************a
6
중고나라채팅알리미19
jo*********n
7
중고나라채팅알리미20
be********8
8
중고나라채팅알리미21
un*****g
9
중고나라채팅알리미27
sh****5
10
중고나라채팅알리미28
re********t
11
중고나라채팅알리미71
sh*****i
12
중고나라채팅알리미83
sh********e
중고나라 앱 회원 구매 안내 댓글을 확인하실 때 각별히 주의해 주시길 바랍니다.
감사합니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1089618133
중고나라가 알려주는 사기 예방 tip,가격 정보 없음,"1. 피싱사이트
가짜 결제 사이트를 전송하여 결제를 유도하는 사기 수법
중고나라 주요 사기 패턴 - 피싱 사이트(주소창)
* 가짜 결제 사이트의 경우 보안서버(https)를 사용하지 않고 http로 시작되며,
웹사이트 이용시 주소창에 자물쇠 표시가 없으니 주의하세요!
또한, 정상적인 안전 거래는 채팅 내 외부 링크 첨부가 불가하며
중고나라 카페 또는 앱 내에서만 결제가 가능합니다.
네이버 결제창과 유사하니 주의하세요!
중고나라 주요 사기 패턴 - 피싱 사이트(예금 주명)
2. 상품권 바코드 탈취
일부 노출된 바코드를 읽기 프로그램을 이용하여 복원한 뒤 가로채는 수법
* 바코드 탈취 후 다른 사람에게 재판매할 수 있어요!
중고나라 주요 사기 패턴 - 상품권 바코드 탈취
3. 3자 사기 (입금자명 변경)
판매자와 구매자에게 동시에 접근하여 구매자로 하여금 판매자에게 송금하게 하고
판매자에게는 자신이 송금한 것처럼 속여 물건을 가로채는 3자 사기 수법
중고나라 주요 사기 패턴 - 3자 사기
*사기꾼은 입금자명을 변경 요청해요!
4. 구매 게시글 접근
구매(삽니다) 게시글에 판매자인 척 접근하여 잠적하는 사기 수법
* 사기꾼이 사용하는 물품 사진은 도용한 사진일 확률이 높아요!
5. 무료나눔 개인정보 도용
무료나눔 이벤트를 가장하여 개인 정보를 수집하는 사기 수법
* 개인 정보가 유출되어 계정 도용이 일어날 수 있어요!
6. 외부 메신저 유도
중고나라 내 채팅을 거부하고 외부 메신저를 통해 거래하는 사기 수법
* 휴대폰 번호를 노출하지 않기 위해 메신저 아이디를 사용하는 경우가 많아요!
7. 도용 신분증 인증 사기
신분증 인증을 제안하여 계좌 거래 후 잠적하는 사기 수법
* 사기꾼은 도용한 신분증을 인증할 확률이 높아요!
실제 사례를 바탕으로 한 대화 내역과
관련 사기 주요 패턴을 보고 싶다면,
아래를 눌러 사기예방법 전문을 확인해주세요.
사기예방법에서는
메신저 ID(카톡, 라인 등)까지 조회할 수 있는
더 새로워진
'중고나라 사기 통합 조회'
소식도 함께 확인할 수 있습니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=994948311
[5월 중나유심] 요금 인상 NO! 평생 통신비 할인 혜택,가격 정보 없음,"중나유심 신청하고 혜택받기
중나유심 신청하고 혜택받기
중나유심 가입만 하면 중나마일리지 100% 증정!
럭키룰렛 돌리면 상품권 10만원 더!
구매후기만 쓰면 GS25상품권 100% 증정!
최대 20GB 데이터 매월 무료 증정!
신세계상품권 증정!(인터넷/IPTV 결합 등)
평생 중도 요금 인상 NO!
5G 휴대폰도 가입 OK!
('25년 5월 이벤트)
- 현금처럼 사용하는 중나마일리지 100% 증정!
- 럭키룰렛 돌리고 개통하면 상품권 최대 10만원!
- 구매후기 작성하면 GS25상품권 100%에 네이버페이 추가 증정!
- 모두의결합 신청하면 24개월간 매월 5~20GB데이터 무료 증정!
- 인터넷(IPTV) 결합하면 상품권 최대 47만원 등 117만원 혜택!
- 7쿠폰 100% 제공!
- 5월 특가! 10GB/2000분 13,800원, 4GB/2000분 8,690원, 2GB/2000분 7,180원
- 중도 요금 인상 No! 평생 할인된 요금 그대로!
- 중나유심 요금제는 5G 핸드폰에서도 가입 가능합니5
[중나유심 혜택 알아보기]",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1060879795
중고나라 이용 정책 (2024.10.08 적용),가격 정보 없음,"중고나라 통합 이용 정책
건전한 거래 문화를 만들기 위한 중고나라 카페 통합 이용 정책을 안내해 드립니다.
아래 이용 정책을 준수해 주시기 바랍니다.
더 나은 중고나라를 만들기 위해 함께 노력해 주세요!
▶ 판매자는 구매자에게 판매하는 상품에 대한 정확한 정보를 제공해 주세요.
- 제품명/판매금액/제품상태/수량 등
▶ 판매자에게 일방적인 과도한 요청은 하지 말아 주세요.
- 과도한 금액 할인 요청, 제품 착용 사진 요구 등
▶ 판/구매자는 불가피한 사정으로 거래가 어려운 경우 상대방에게 미리 이야기해 주세요.
▶ 판/구매자는 따뜻한 중고거래 환경을 위해 서로에게 매너 있게 소통해 주세요.
▶ 판매 게시글 등록 시, 판매 상품에 맞는 게시판과 [말머리]를 선택하여 구매자가 빠르게 판매 게시글을 검색할 수 있도록 해주세요.
▶ 판매 게시글 등록 시 제목에 특수문자 사용은 피해주세요.
▶ 판매 게시글 등록 시 판매 상품의 정확한 가격을 입력해 주세요.
▶ 1개의 판매 게시글에 판매 상품이 2개 이상인 경우 상품 중 최소 금액을 기준으로 가격을 입력해 주세요.
안전한 중고나라를 위해 꼭 지켜주세요!
▶ 모든 카테고리를 포함하여 1 계정당 1일 최대 5개의 게시글을 등록할 수 있어요.
초과되는 게시글의 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 이상 거래 의심 행위가 확인되는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
- 사기 및 이상 거래 의심
- 불법 및 범죄 행위 의심
▶ 상대방에게 불쾌감을 줄 수 있는 행위가 확인되는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 거래 제한 상품을 판매하는 경우, 게시글 삭제 및 서비스 활동 제한 조치가 될 수 있어요.
▶ 유해 사이트 또는 광고 링크를 게시글 내에 등록하는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 상업 목적 행위로 활동하는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
*해당 이용 정책은 2024년 10월 08일 화요일 오전 11시부터 적용됩니다.
*셀러 회원의 경우 셀러지원센터 내 카테고리별 ‘셀러 이용 정책’을 참고해주세요.
*회사의 운영 상황에 따라 이용 정책은 변경될 수 있으며, 변경된 사항은 사전 공지 후 적용됩니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1082322224
빠르게 판매하기 위한 Tip 알려드릴게요!,가격 정보 없음,,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1027951961
중고나라 모든 상품을 한 번에 보고 싶다면?,가격 정보 없음,"안녕하세요, 중고나라입니다.
중고나라의 모든 상품을 한 번에 보고 싶다면?
중고나라 앱을 다운로드하고
더 편리하게 이용해 보세요!
▼ 클릭하고 앱 다운 받기!
회원님들의 더 편리한 중고나라 이용을 위해 노력하겠습니다.
감사합니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1017811076
애플 2019 맥북프로 15인치 MV922KH/A 터치바,가격 정보 없음,"▶ 중고나라 인증 셀러회원으로 믿을만한 구매처
▶ 다양한 매물 보유 및 판매 중
[사양]
크기 : 39.11cm(15.4인치)
CPU : i7-9750H (2.6GHz)
메모리 용량 : 16GB
SSD : 256GB
UHD Graphics 630
라데온 Pro 555X
색상 : 실버
사이클 : 302
구매일 : 2019년 10월
구성품 : 본체, 충전기
특이사항 :
- 터치바
- 상판 찌그러짐 있음
- 작은 기스들 있음
- Command 키보드 작게 벗겨짐
[거래방식] 수원 직거래 / 택배거래
[연락처] 010-9381-7111
언제든지 매입 및 구매 상담 관련 문의 주세요~
[택배안내]
CJ대한통운으로 16시 이전 주문시 당일 출고 됩니다
[참고]
중고제품 구입하시면 심각한 하자 발견시 환불, 반품 가능",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=334&boardtype=L&articleid=1107316735&referrerAllArticles=false
[판매]HP 오멘 고성능 게이밍 노트북/RTX3070Ti,가격 정보 없음,"2024년 1월 구매/무상 AS 2025년 6월 까지 남아있구요
실사용 약 6개월/배터리 수명 100% 입니다
신품가 174만9000원 고가 제품이고
전체검수 및 내부 청소후 써멀재도포등 정비완료한 양품이고 바로 사용하시면 됩니다
윈도우 업데이트후 오른쪽 USB 포트가 전원은 들어오는데 윈도우에서 인식을 못하네요
쿨링패드 같은 외부장치 연결하는데 문제 없지만 시세보다 싸게 올렸고
확장형 USB 멀티포트 같이 드릴거라 사용하는덴 아무 문제 없습니다
스케치업,오토캐드,일러스트,포토샵,프리미어 프로,한글,오피스 등 다 잘됩니다
모델명 : HP OMEN 16-n0094AX 165Hz
화면 : 16.1인치 고화질 IPS LED (2560 X 1440 QHD) 재생빈도 165hz
CPU : AMD 최신 라이젠7 6800H (16쓰레드/터보부스트/인텔 i9 보다 고성능 CPU)
VGA : Nvidia 지포스 RTX3070Ti GDDR6 8GB (논옵티머스 지원 150W TGP등 랩탑 최고성능)
메모리 : 램DDR5 16G (듀얼채널 구성으로 성능 UP)
SSD : 초고속 NVME 512기가 부팅 5초 (256기가 두개로 듀얼스토리지 구성/일반 SSD보다 전송속도 엄청 빨라요!!)
기타: USB3.0/웹캠/기가 무선랜 내장/블루투스 5.0/HDMI포트,외부출력 지원,고속충전,PD충전
배터리 : 대용량 배터리 (배터리도 거의 사용안해서 최대 8~9시간 정도 뜨네요)
무게 : 2.3kg (슬림하고 가벼워서 휴대도 편합니다)
구성품은 정품 충전기 + 노트북 + 신품 마우스 + HP 정품박스 + 노트북 쿨링 패드 + 확장형 USB 멀티 포트 이구요
카메라/마이크 내장으로 줌 같은 화상채팅 가능하구요 포토샵/동영상편집/오토캐드/일러스트등 왠만한 작업도 다 가능합니다
165Hz 화면 지원으로 FPS 게임하기 매우 좋습니다
검은신화 오공,P의 거짓,디아4,사이버펑크 2077,어쌔신크리드,바이오하자드4 RE,배틀그라운드,위쳐3 등 최신/고사양 게임 원활히 플레이 가능하구요
직거래는 서울 서초 교대역/강남역 앞 에서 가능합니다
(파손면책 동의시 택배나 퀵 거래도 가능해요)
지역은 서울 서초 교대역/강남역 이구요 가까운 분은 오셔서 직거래 가능하고
서울/경기도 전지역/인천 등 수도권은 갖다드릴수도 있구요 안전거래 및 카드 결제도 가능합니다
파손면책 동의시 택배나 퀵도 가능해요 택배비는 제가 부담해드립니다
램 및 SSD 등 최저 부품값만 받고 업글 진행도 가능합니다^^
연락처는 010-5694-7970 이구요
문의 사항은 문자 주세용
98만원에 팔구요 네고 문의는 사양합니다~",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=334&boardtype=L&articleid=1107316562&referrerAllArticles=false
레노버 노트북 S415 업글 부자제 일괄,가격 정보 없음,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
※ 게시글 내 외부 링크(타 플랫폼 주소, 카카오 오픈채팅 주소 등)을 등록하는 경우, 게시글 삭제 및 서비스 활동 제한 조치를 받을 수 있습니다.
👆 오늘 작성가능한 게시글 수가 부족하다면, 상단에 ""중고나라 앱 다운받기""를 통해서 앱에서 작성해 보세요!
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 ""상품명(ex. 맥북 에어 13)”를 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
배터리는 부풀어서 탈거 폐기함
업글할려다가 귀찮기도 하고 업글해도 PC본체 있어서
잘 사용 안할거 같아서 정리합니다
본체,전원선,(SSD 256 미개봉,마우스 미개봉,8G 메모리 미장작)
네고.교환.환불X
택배는 착불 택포는 5천원 추가금
010-6320-칠오영오
주소지 직거래
인천 서구 마전동 991-8
안전거래는 안하고 있습니다 판매글은 판매 후 완료되면 지웁니다 일반채팅과 폰 앱채팅은 못 볼수 있어서 문자 주셔요
🚨회원님의 거래 게시글을 노린 중고나라 운영진 사칭 피싱 사이트를 주의하세요🚨",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=334&boardtype=L&articleid=1107316551&referrerAllArticles=false
"애플 맥북프로 16 M4 MX2X3KH/A (24GB, 512GB, 블랙)",가격 정보 없음,"▶ 중고나라 인증 셀러회원으로 믿을만한 구매처
▶ 다양한 매물 보유 및 판매 중
[사양]
크기(화면) : 41.0cm(16.2인치)
CPU : M4 Pro 14코어(10P+4E)
메모리 용량 : 24GB
SSD : 512GB
M4 PRO GPU 20Core
색상 : 블랙
구매일 : 2025년 4월 17일
구성품 : 본체, 충전기
특이사항 :
- 사이클 3으로 새것처럼 깨끗합니다
- 영수증 있음
[거래방식] 수원 직거래 / 택배거래
[연락처] 010-9381-7111
언제든지 매입 및 구매 상담 관련 문의 주세요~
[택배안내]
CJ대한통운으로 16시 이전 주문시 당일 출고 됩니다
[참고]
중고제품 구입하시면 심각한 하자 발견시 환불, 반품 가능
미개봉 제품은 단순변심, 개봉으로 인한 반품 취소 불가",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=334&boardtype=L&articleid=1107316450&referrerAllArticles=false
